itemName,year,avgPrice
Celtic Honey Liqueur,2013,10.125
Celtic Honey Liqueur,2012,9.5
Celtic Honey Liqueur,2016,7.5
Dekuyper White Creme De Menthe,2013,12.0
Dekuyper White Creme De Menthe,2012,12.0
Clyde Mays Dualpack,2018,12.75
Clyde Mays Dualpack,2017,2.90625
Clyde Mays Dualpack,2020,3.25
Stoli Group,2013,2.6666666666666665
Stoli Group,2015,1.5
Stoli Group,2012,3.0
Stoli Group,2014,4.0
San Matias Gran Reserva Anejo,2019,4.5
San Matias Gran Reserva Anejo,2018,4.5
San Matias Gran Reserva Anejo,2020,4.5
San Matias Gran Reserva Anejo,2017,4.5
Captain Morgan Original Spiced Barrel Tray Pack,2012,802.725
Combier Peche Vigne Liqueur,2020,3.375
Sugarland Tickels Dynamite Cinnamon Moonshine,2018,36.0
Pearl,2014,8.15
Pearl,2012,8.8125
Pearl,2019,8.024703557312254
Pearl,2013,26.904761904761905
Pearl,2018,4.7368421052631575
Calico Jack Spiced Rum,2016,48.53333333333333
Calico Jack Spiced Rum,2015,12.95945945945946
Redbreast Cask Strength HA,2016,3.8671875
Edradour Caledonia 12YR,2017,4.5
Flor De Cana White,2016,27.0
Flor De Cana White,2018,39.535714285714285
Flor De Cana White,2017,23.142857142857142
Dubliner Irish Whiskey,2020,2.9558823529411766
Dubliner Irish Whiskey,2018,3.1966019417475726
Dubliner Irish Whiskey,2019,2.87007874015748
Dubliner Irish Whiskey,2016,1.6875
Dubliner Irish Whiskey,2017,3.764
American Schnapps,2019,6.026274509803921
American Schnapps,2020,5.9655172413793105
American Schnapps,2018,6.161851851851852
Bird Dog Apple Mini,2020,0.13635170603674537
Bird Dog Apple Mini,2019,0.9151515151515153
Bird Dog Apple Mini,2018,1.682352941176471
Jackson Hole Still Works Vodka,2020,6.0
Jackson Hole Still Works Vodka,2019,6.428571428571429
Elijah Craig 12yr Bourbon,2012,17.25
Fleischmann's Gin,2018,7.993064516129032
Fleischmann's Gin,2017,8.514120667522464
Fleischmann's Gin,2015,7.974653739612188
Fleischmann's Gin,2019,8.178789198606271
Fleischmann's Gin,2012,7.6380381713271195
Fleischmann's Gin,2013,7.6484783642415595
Fleischmann's Gin,2016,7.8800917957544465
Fleischmann's Gin,2014,8.265770171149144
Greenore 8 Yr,2014,4.5
Greenore 8 Yr,2015,4.5
Greenore 8 Yr,2012,4.5
Greenore 8 Yr,2016,4.5
Greenore 8 Yr,2013,4.5
Jeffersons Reserve Pritchard Hill Cabernet Cask Finish DISCO,2017,4.5
HA Cantera Negra Tequila Silver,2019,1.5
HA Cantera Negra Tequila Silver,2018,3.1875
New Amsterdam,2018,6.065660770031219
New Amsterdam,2016,7.850499286733241
New Amsterdam,2017,8.654819976771199
Appleton Rare Blend,2016,4.5
Appleton Rare Blend,2017,4.5
Appleton Rare Blend,2018,5.625
Koval Bourbon,2017,4.5
Koval Bourbon,2016,5.25
Koval Bourbon,2018,6.0
Koval Bourbon,2020,5.785714285714286
Koval Bourbon,2019,4.5
Firewater Cinnamon Schnapps,2019,6.354107648725212
Firewater Cinnamon Schnapps,2016,4.099759615384615
Firewater Cinnamon Schnapps,2017,4.904444444444445
Firewater Cinnamon Schnapps,2018,6.220385674931129
Firewater Cinnamon Schnapps,2020,5.929166666666666
Leroux Blackberry Brandy,2013,33.375
Leroux Blackberry Brandy,2014,31.166666666666668
Leroux Blackberry Brandy,2016,52.8
Leroux Blackberry Brandy,2019,30.0
Leroux Blackberry Brandy,2017,36.0
Leroux Blackberry Brandy,2012,15.428571428571429
Leroux Blackberry Brandy,2020,42.0
Leroux Blackberry Brandy,2015,28.714285714285715
Ron Abuelo Anejo,2017,9.0
Ron Abuelo Anejo,2019,18.0
